Name,Data and time,Latitude,Longitude
image305,28-04-20 07:31,41.129,41.997
image306,28-04-20 07:31,40.538,43.052
image307,28-04-20 07:31,39.973,44.023
image308,28-04-20 07:32,39.361,45.04
image309,28-04-20 07:32,38.779,45.976
image310,28-04-20 07:32,38.148,46.956
image311,28-04-20 07:32,37.508,47.918
image312,28-04-20 07:33,36.9,48.804
image313,28-04-20 07:33,36.244,49.733
image314,28-04-20 07:33,35.621,50.588
image315,28-04-20 07:33,34.949,51.485
image316,28-04-20 07:34,34.312,52.311
image317,28-04-20 07:34,33.626,53.177
image318,28-04-20 07:34,32.976,53.976
image319,28-04-20 07:34,32.277,54.814
image320,28-04-20 07:35,31.615,55.587
image321,28-04-20 07:35,30.904,56.399
image322,28-04-20 07:35,30.187,57.197
image323,28-04-20 07:35,29.509,57.935
image324,28-04-20 07:36,28.781,58.709
image325,28-04-20 07:36,28.094,59.425
image326,28-04-20 07:36,27.356,60.177
image327,28-04-20 07:36,26.661,60.872
image328,28-04-20 07:37,25.914,61.604
image329,28-04-20 07:37,25.21,62.28
image330,28-04-20 07:37,24.455,62.992
image331,28-04-20 07:38,23.744,63.652
image332,28-04-20 07:38,22.982,64.346
image333,28-04-20 07:38,22.264,64.989
image334,28-04-20 07:38,21.495,65.668
image335,28-04-20 07:39,20.723,66.338
image336,28-04-20 07:39,19.996,66.96
image337,28-04-20 07:39,19.217,67.616
image338,28-04-20 07:39,18.485,68.225
image339,28-04-20 07:40,17.702,68.868
image340,28-04-20 07:40,16.965,69.465
image341,28-04-20 07:40,16.177,70.096
image342,28-04-20 07:40,15.386,70.722
image343,28-04-20 07:41,14.643,71.304
image344,28-04-20 07:41,13.849,71.92
image345,28-04-20 07:41,13.102,72.493
image346,28-04-20 07:41,12.304,73.1
image347,28-04-20 07:42,11.555,73.666
image348,28-04-20 07:42,10.754,74.265
image349,28-04-20 07:42,10.002,74.824
image350,28-04-20 07:42,9.198,75.417
image351,28-04-20 07:43,8.393,76.006
image352,28-04-20 07:43,7.638,76.557
image353,28-04-20 07:43,6.831,77.141
image354,28-04-20 07:43,6.074,77.688
image355,28-04-20 07:44,5.266,78.268
image356,28-04-20 07:44,4.507,78.811
image357,28-04-20 07:44,3.698,79.389
image358,28-04-20 07:45,2.939,79.929
image359,28-04-20 07:45,2.129,80.505
image360,28-04-20 07:45,1.369,81.044
image361,28-04-20 07:45,0.558,81.618
image362,28-04-20 07:46,-0.202,82.156
image363,28-04-20 07:46,-1.012,82.73
image364,28-04-20 07:46,-1.772,83.269
image365,28-04-20 07:46,-2.582,83.844
image366,28-04-20 07:47,-3.342,84.384
image367,28-04-20 07:47,-4.151,84.961
image368,28-04-20 07:47,-4.909,85.503
